TimeStamp;Live_Power;EVSE_Current_power;shaper_max_power;Charging_Current;Current_Capacity;FirmWare
17/12/2023 15:04:14;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:15;7517.60000000000;7110.22400000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:16;7516.59000000000;7160.29600000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:17;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:18;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:19;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:20;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:21;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:22;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:23;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:24;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:25;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:26;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:27;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:28;7516.59000000000;7102.72640000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:29;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:30;7516.59000000000;7152.74560000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:31;7500.85000000000;7127.57752000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:32;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:33;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:34;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:35;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:36;7500.85000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:37;7500.85000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:38;7500.85000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:39;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:40;7500.85000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:41;7500.85000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:42;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:43;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:44;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:45;7500.85000000000;7127.57760000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:46;7505.68000000000;7077.73440000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:47;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:48;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:49;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:50;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:51;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:52;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:53;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:54;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:55;7505.68000000000;7131.35280000000;6400;31.4600000000000;31;V5.0.2
17/12/2023 15:04:56;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:57;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:58;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:04:59;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:00;7505.68000000000;7081.48320000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:01;7503.34000000000;7088.35581000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:02;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:03;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:04;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:05;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:06;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:07;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:08;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:09;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:10;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
17/12/2023 15:05:11;7503.34000000000;7088.35600000000;6400;31.2400000000000;31;V5.0.2
